KeyID,Time,Altitude,Longitude,Latitude,Speed,NR Band,NR PCI,SS-RSRP,SS-SINR,Neighbor Cell PCI,Neighbor Cell RSRP,NR PHY Throughput DL(Mbps),NR PDCP Throughput DL(Mbps),NR MAC Throughput DL(Mbps),NR DL Grant Count,NR PDSCH BLER,NR DL Avg MCS,PRB Num DL/slot,NR DL Avg RI,NR PHY Throughput UL(Mbps),NR PDCP Throughput UL(Mbps),NR MAC Throughput UL(Mbps),NR UL Grant Count,NR PUSCH BLER,NR UL Avg MCS,PRB Num UL/slot,NR UL Avg RI,NR PUSCH Txpower,NR SRS Txpower,Ping Delay,Ping Jitter
"1",2024/3/26 11:17:34,"6","119.84815","31.71163","","79","302","-88.37","10.38","171;73","-86.23;-138.13","0.1","","0.09","37","0","3.3","6.13","2","0.06","","0.06","21","0","23.69","3.47","1","15","25","",""
"2",2024/3/26 11:17:35,"6","119.84815","31.71163","","79","302","-87.08","11.44","171","-86.91","0.09","0.06","0.07","42","0","0","3.5","2","0.06","0.03","0.06","22","0","24","3","1","12","25","",""
"3",2024/3/26 11:17:36,"6","119.84815","31.71163","","79","302","-85.71","21.74","171;73","-89.70;-103.93","23.46","32.6","21.19","727","5.27","11.59","161.54","2","13.47","0.2","10.69","308","16.08","18.46","163.35","1","19","25","",""
"4",2024/3/26 11:17:37,"6","119.84815","31.71163","","79","302","-84.4","20.59","171;73","-86.18;-99.62","161.5","155.23","143","1393","8.82","16.45","243.73","2","50.1","30.22","41.88","600","15.71","19.95","244.31","1","22","25","",""
"5",2024/3/26 11:17:38,"6","119.84815","31.71163","","79","302","-83","18.45","171;73","-88.65;-99.62","317.94","301.1","282.02","1406","9.54","17.4","243.23","2","96.81","75.75","82.52","600","12","22.95","243","1","21","25","",""
"6",2024/3/26 11:17:39,"6","119.84815","31.71163","","79","302","-85.22","14.07","171","-83.12","414.52","365.32","368.38","1406","8.73","16.86","243.7","2","125.79","101.83","107.84","600","15","24.13","243.14","1","21","25","",""
"7",2024/3/26 11:17:40,"6","119.84815","31.71163","0","79","302","-83.67","18.01","171","-91.18","412.51","358.33","364.03","1402","12.18","14.81","241.75","2.08","130.97","110.92","110.71","600","18.33","20.64","246","1","19","25","",""
"8",2024/3/26 11:17:41,"6","119.84815","31.71164","0.57","79","302","-88.45","9.68","171","-92.64","389.64","343.59","348.42","1408","7.22","15.47","239.93","2.07","122.01","103.04","101.77","600","16.69","17.07","246","1","22","25","",""
"9",2024/3/26 11:17:42,"5","119.84816","31.71164","0.92","79","302","-88.29","9.56","171;73","-88.17;-96.37","366.96","323.6","327.05","1407","10.39","14.66","242.4","2","109.11","87.11","88.38","600","19.83","17.62","246","1","22","25","",""
"10",2024/3/26 11:17:43,"5","119.84816","31.71164","0.82","79","302","-87.13","9.94","171;73","-91.33;-103.05","365.01","331.14","331.18","1404","7.53","16.23","242.8","2","104.4","83.82","87.67","600","11.51","18.97","246","1","22","25","",""
"11",2024/3/26 11:17:44,"5","119.84816","31.71164","0.74","79","302","-90.13","12.46","171;73","-89.41;-101.33","386.8","345.35","347.37","1404","8.92","17.08","242.58","2","105.35","86.72","88.98","600","13.66","17.59","246","1","22","25","",""
"12",2024/3/26 11:17:45,"5","119.84816","31.71164","0.75","79","302","-88.89","17.99","171;73","-89.77;-102.15","411.27","370.03","371.48","1406","8.86","14.09","242.47","2","104.15","89.8","89.37","600","15.24","17.54","245.11","1","22","25","",""
"13",2024/3/26 11:17:46,"5","119.84816","31.71164","0.74","79","302","-91.82","13.22","171;73","-92.73;-100.60","419.13","372.03","375.46","1399","9.47","17.2","244.19","2","102.28","84.7","86.05","600","16.38","18.8","243","1","23","25","",""
"14",2024/3/26 11:17:47,"5","119.84816","31.71164","0.74","79","302","-92.08","12.93","171;73","-93.77;-100.00","411.44","362.2","370.04","1397","9.14","16.54","241.84","2","101.38","82.97","85.04","600","15.41","17.79","243","1","23","25","",""
"15",2024/3/26 11:17:48,"5","119.84816","31.71164","0.74","79","302","-88.8","11.68","171;73","-86.04;-97.69","395.2","340.19","348.71","1395","12.42","14.87","241.66","2","109.53","86.94","89.35","600","20.7","20.84","245.23","1","21","25","",""
"16",2024/3/26 11:17:49,"5","119.84816","31.71164","0.74","79","302","-86.34","9.88","171;73","-86.19;-99.48","370.69","326.1","331.53","1397","7.69","13.5","243.4","2","112.43","90.48","93.67","600","13.23","19.57","246","1","21","25","",""
"17",2024/3/26 11:17:50,"5","119.84816","31.71164","0.74","79","302","-87.31","10.3","171;73","-84.34;-97.07","359.78","317.08","321.1","1398","8.47","15.54","242.2","2","120.49","98.49","100.79","600","13.83","19.64","246","1","22","25","",""
"18",2024/3/26 11:17:51,"5","119.84816","31.71164","0.74","79","302","-86.17","8.96","171;73","-86.85;-104.02","355.08","317.35","318.56","1390","10.35","13.86","242.02","2","121.9","105.29","104.74","600","14.83","20.79","246","1","19","25","",""
"19",2024/3/26 11:17:52,"6","119.84815","31.71164","0.68","79","302","-86.3","10.18","171;73","-82.03;-99.76","362.09","321.71","325.25","1403","6.61","15.43","244.35","2","123.54","104.01","104.89","600","14.88","20.15","246","1","21","25","",""
"20",2024/3/26 11:17:53,"6","119.84815","31.71164","0.68","79","171","-85.92","7.62","302;73","-89.48;-93.18","342.02","254.06","302.06","1404","13.64","9.4","240.03","2.91","119.54","98.52","101.19","600","18.26","21.03","245.52","1","19","25","",""
"21",2024/3/26 11:17:54,"5","119.84813","31.71165","1.2","79","171","-83.3","9.48","302;73","-90.27;-95.58","326.85","244.88","287.34","1276","9.02","7.37","242.08","2.66","120.64","99.93","103.45","552","12.02","22.82","246","1","19","25","",""
"22",2024/3/26 11:17:55,"4","119.84813","31.71165","1.2","79","171","-85.5","5.19","73;302","-88.92;-90.97","314.72","279.83","271.86","1274","9.73","8.48","242.66","2.15","125.31","103.66","108.3","552","13.32","23.66","246","1","19","25","",""
"23",2024/3/26 11:17:56,"4","119.84813","31.71165","1.2","79","171","-86.3","3.48","302;73","-85.47;-89.30","332.79","294.95","294.92","1275","9.89","10.91","241.58","2","137.26","117.04","120.9","552","11.23","24.9","246","1","19","25","",""
"24",2024/3/26 11:17:57,"4","119.84813","31.71165","1.2","79","171","-83.66","4.85","302;73","-86.97;-88.66","356.88","320.3","316.76","1271","10.23","15.73","238.34","2","141.74","121.2","123.62","552","13.57","25.36","246","1","15","25","",""
"25",2024/3/26 11:17:58,"4","119.84813","31.71165","1.2","79","171","-75.32","7.39","302;73","-83.30;-87.26","380.18","341.56","340.71","1274","9.56","18.72","239.08","2","148.84","131.06","134.24","552","3.98","25.99","246","1","12","23","",""
"26",2024/3/26 11:17:59,"4","119.84813","31.71165","1.2","79","171","-76.53","7.32","302;73","-86.10;-88.86","404.31","371.13","366.26","1270","5.63","19.74","243.45","2","151.1","136.72","138.39","552","6.39","25.86","246","1","13","24","",""
"27",2024/3/26 11:18:00,"4","119.84813","31.71165","1.2","79","171","-79.65","7.45","302;73","-86.59;-88.62","428.1","390.79","390.78","1274","8.55","20.48","242.03","2","150.9","142.23","140.91","552","9.28","25.05","246","1","18","25","",""
"28",2024/3/26 11:18:01,"4","119.84813","31.71165","1.2","79","171","-83.52","3.36","302;73","-82.37;-88.63","446.14","401.38","403.75","1274","10.05","20.11","244.23","2","145.69","129.72","134","552","8.57","24.07","246","1","19","25","",""
"29",2024/3/26 11:18:02,"4","119.84813","31.71165","0.96","79","171","-82.32","6.15","302;73","-88.41;-88.70","453.95","406.27","408.78","1276","7.45","20.67","242.77","2","144.94","129.25","130.83","552","10.34","25.4","246","1","18","25","",""
"30",2024/3/26 11:18:03,"4","119.84813","31.71165","0.86","79","171","-86.87","3.48","302;73","-85.48;-89.63","448.25","397.38","402.54","1276","8.58","20.1","241.05","2","142.29","127.55","128.41","552","10.21","24.35","246","1","19","25","",""
"31",2024/3/26 11:18:04,"4","119.84813","31.71165","0.34","79","171","-81.7","6.45","302;73","-86.44;-87.91","462.7","418.1","420.06","1272","7.55","21.82","245.48","2","147.33","133.46","133.73","552","6.92","25.85","246","1","18","25","",""
"32",2024/3/26 11:18:05,"4","119.84813","31.71165","0","79","171","-81.97","5.88","302;73","-85.86;-88.17","466.74","419.07","422.37","1274","9.54","20.89","242.13","2","148.52","133.1","136.98","552","5.65","25.98","246","1","19","25","",""
"33",2024/3/26 11:18:06,"4","119.84813","31.71165","0","79","171","-82.01","5.35","302;73","-85.39;-88.30","468.2","418.5","424.18","1274","8.75","20.51","240.39","2","153.15","141.61","143.96","552","4.52","26","246","1","19","25","",""
"34",2024/3/26 11:18:07,"4","119.84813","31.71165","0","79","171","-82.6","4.93","302;73","-86.43;-88.02","459.93","407.51","412.63","1266","9.69","20.99","241.09","2","153.38","145.24","146.23","552","2.73","26","246","1","19","25","",""
"35",2024/3/26 11:18:08,"4","119.84813","31.71165","0","79","171","-82.58","4.7","302;73","-86.14;-87.76","457.62","406.3","411.54","1276","8.77","20.52","243.32","2","153.79","145.82","146.07","552","7.8","26","246","1","18","25","",""
"36",2024/3/26 11:18:09,"4","119.84813","31.71165","0","79","171","-83.15","4.41","302;73","-85.91;-87.87","456.49","404.42","409.62","1276","8.73","20.33","243.04","2.53","153.43","144.8","143.76","552","8.62","26.01","246","1","18","25","",""
"37",2024/3/26 11:18:10,"4","119.84813","31.71165","0","79","171","-84.8","2.66","302;73","-84.93;-88.45","445.06","391.55","396.92","1272","9.66","18.71","242.11","3","152.23","140.26","138.5","552","10.2","25.44","246","1","19","25","",""
"38",2024/3/26 11:18:11,"4","119.84813","31.71165","0","79","171","-85.19","3.28","302;73","-84.98;-88.72","429.88","390.38","389.26","1274","5.54","18.26","241.87","2.38","148.65","134.38","133.97","552","9.7","24.87","246","1","19","25","",""
"39",2024/3/26 11:18:12,"4","119.84813","31.71165","0","79","171","-86.94","-0.2","302;73","-83.70;-88.66","429.5","378.52","383.79","1276","12.9","19.21","240.36","2.08","145.96","130","130.83","552","9.83","24.77","246","1","19","25","",""
"40",2024/3/26 11:18:13,"4","119.84813","31.71165","0","79","302","-84.96","10.49","73;171","-89.80;-90.54","399.9","378.52","355.56","1308","8.98","11.09","241.21","2.08","136.23","123.82","121.91","556","12.94","21.03","245.11","1","19","25","",""
"41",2024/3/26 11:18:14,"4","119.84813","31.71165","0","79","302","-89.33","14.08","171;73","-79.94;-89.98","372.44","319.78","322.69","1408","9.75","10.67","242.53","2","129.85","116.64","116.41","600","9.84","20.49","246","1","19","25","",""
"42",2024/3/26 11:18:15,"4","119.84813","31.71165","0","79","302","-92.43","13.8","73;171","-89.25;-90.84","351.98","320.08","314.1","1406","8.19","10.98","242.81","2","122.67","111.06","109.52","600","11.72","19.96","246","1","19","25","",""
"43",2024/3/26 11:18:16,"4","119.84813","31.71165","0","79","302","-84.66","13.8","171;73","-88.16;-89.06","366.92","325.37","328.74","1406","8.88","11.9","244.12","2","127.4","110.51","113.97","600","10.72","22.1","246","1","19","25","",""
"44",2024/3/26 11:18:17,"4","119.84813","31.71165","0","79","302","-84.69","13.18","171;73","-81.81;-88.77","376.68","335.04","336.76","1406","10.18","14.97","244.5","2","135.8","117.53","121.19","600","10.05","23.92","246","1","19","25","",""
"45",2024/3/26 11:18:18,"4","119.84813","31.71165","0","79","171","-85.89","14.17","302;73","-84.79;-88.12","383.15","339.38","340.84","1406","8.33","14.28","241.75","2","145.55","131.34","130.4","600","9.82","25.19","245.57","1","19","25","",""
"46",2024/3/26 11:18:19,"4","119.84813","31.71165","0","79","171","-80.23","5.42","302;73","-85.57;-88.13","361.53","339.38","321.79","1331","7.9","12.59","241.41","2.61","150.32","137.78","139.47","565","2.83","26","246","1","19","25","",""
"47",2024/3/26 11:18:20,"4","119.84813","31.71165","0","79","171","-81.77","4.55","302;73","-85.02;-87.98","372.58","349.39","334.26","1274","8.69","13.74","245.54","2","152.57","143.44","144.09","552","5.46","26.25","246","1","19","25","",""
"48",2024/3/26 11:18:21,"4","119.84813","31.71165","0","79","171","-80.03","5.54","302;73","-85.41;-88.46","414.32","363.7","372.71","1274","8.61","17.42","244.63","2","152.77","142.8","145.91","552","6.93","26","246","1","15","25","",""
"49",2024/3/26 11:18:22,"4","119.84813","31.71165","0","79","171","-78.42","6.03","302;73","-85.97;-89.02","440.36","398.02","399.55","1270","6.91","20.68","244.27","2","153.54","141.89","143.65","552","6.73","25.94","246","1","15","25","",""
"50",2024/3/26 11:18:23,"4","119.84813","31.71165","0","79","171","-78.72","7.12","302;73","-84.74;-88.76","450.03","399.44","405.21","1274","10.66","19.77","243","2","153.14","141.21","141.9","552","8.4","26","246","1","15","25","",""
"51",2024/3/26 11:18:24,"4","119.84813","31.71165","0","79","171","-79.05","5.48","302;73","-84.69;-88.23","443.67","398.4","402.45","1274","7.59","19.34","243.5","2","152.95","139.22","138.34","552","13.57","25.91","246","1","14","24","",""
"52",2024/3/26 11:18:25,"4","119.84813","31.71165","0","79","171","-79.99","4.57","302;73","-83.61;-88.57","432.81","385.1","389.1","1272","8.76","18.25","243.49","2","152.87","135.42","135.19","552","13.32","25.91","246","1","15","25","",""
"53",2024/3/26 11:18:26,"4","119.84813","31.71165","0","79","171","-80.75","3.81","302;73","-84.54;-88.11","422.14","381.71","383.23","1272","8.64","19.01","243.59","2","153.12","131.66","132.9","552","13.47","25.98","246","1","14","25","",""
"54",2024/3/26 11:18:27,"4","119.84813","31.71165","0","79","171","-87.46","3.68","302;73","-85.21;-89.00","406.36","364.61","367.59","1274","7.69","18.15","243.39","2","150.51","128.96","130.13","552","13.78","24.92","246","1","19","25","",""
"55",2024/3/26 11:18:28,"4","119.84813","31.71165","0","79","171","-83.67","3.8","302;73","-81.13;-88.52","399.87","360.43","364.28","1271","6.5","18.24","243.11","2","150.37","130.99","132.64","552","8.15","25.87","246","1","17","25","",""
"56",2024/3/26 11:18:29,"4","119.84813","31.71165","0","79","171","-79.96","3.8","302;73","-83.98;-88.94","395.97","362.24","363.68","1260","6.97","19.1","243.15","2","149.86","133.52","136.24","552","5.83","26","246","1","15","25","",""
"57",2024/3/26 11:18:30,"4","119.84813","31.71165","0","79","171","-79.5","4.73","302;73","-84.78;-88.26","419.44","385.58","386.97","1274","7.51","20.31","242.22","2","152.58","140.22","138.49","552","14.31","25.95","246","1","14","24","",""
"58",2024/3/26 11:18:31,"4","119.84813","31.71165","0","79","171","-80.75","3.85","302;73","-83.03;-89.09","436.83","395.21","398.03","1274","9.19","19.84","243.32","2","152.85","135.63","137.03","552","11.74","26.04","246","1","14","25","",""
"59",2024/3/26 11:18:32,"4","119.84813","31.71165","0","79","171","-81.25","4.06","302;73","-82.27;-88.66","441.53","394.83","395.81","1272","9.74","19.9","242.21","2","153.36","132.43","135.78","552","9.78","25.93","246","1","15","25","",""
"60",2024/3/26 11:18:33,"4","119.84813","31.71165","0","79","171","-82.1","4.92","302;73","-85.02;-88.65","450.33","402.63","404.45","1274","6.82","21.35","244.5","2.07","152.62","133.84","138.3","552","5.97","25.74","246","1","18","25","",""
"61",2024/3/26 11:18:34,"4","119.84813","31.71165","0","79","171","-80.3","5.6","302;73","-83.03;-88.52","452.71","400.92","403.14","1274","12.05","19.94","241.25","2","152.49","137.32","137.89","552","11.77","25.97","246","1","14","25","",""
"62",2024/3/26 11:18:35,"4","119.84813","31.71165","0","79","171","-80.32","4.97","302;73","-83.37;-88.39","456.34","411.71","415.19","1274","6.32","20.57","241.75","2","152.14","136.22","137.71","552","10.76","25.97","246","1","14","25","",""
"63",2024/3/26 11:18:36,"4","119.84813","31.71165","0","79","171","-80.1","5.62","302;73","-83.61;-88.97","452","411.18","407.88","1272","7.6","20.85","243.55","2","153.11","133.27","136.08","552","10.21","26","245.83","1","14","25","",""
"64",2024/3/26 11:18:37,"4","119.84813","31.71165","0","79","171","-80.1","4.92","302;73","-83.53;-88.78","452.78","411.5","415.28","1272","8.93","20.46","242.32","2.84","153.38","137.12","138.37","552","8.19","26","246","1","14","25","",""
"65",2024/3/26 11:18:38,"4","119.84813","31.71165","0","79","171","-80.14","5.69","302;73","-83.52;-88.63","457.11","415.43","413.75","1274","7.69","21","243.72","3","153.47","136.84","136.99","552","13.47","25.95","246","1","14","25","",""
"66",2024/3/26 11:18:39,"4","119.84813","31.71165","0","79","171","-79.14","5.61","302;73","-84.59;-89.35","462.35","416.15","418.37","1276","8.05","21.48","241.68","3","152.7","135.64","134.48","552","13.86","25.84","246","1","14","24","",""
"67",2024/3/26 11:18:40,"4","119.84813","31.71165","0","79","171","-78.65","5.69","302;73","-84.87;-89.84","471.94","428.16","428.67","1274","8.11","21.87","242.2","3","152.63","133.61","133.86","552","9.48","25.94","246","1","14","24","",""
"68",2024/3/26 11:18:41,"4","119.84813","31.71165","0","79","171","-78.46","5.84","302;73","-84.20;-89.15","480.63","433.2","435.21","1274","8.37","21.87","243.3","2.84","152.72","131.04","134.14","552","13.13","25.97","246","1","15","25","",""
"69",2024/3/26 11:18:42,"4","119.84813","31.71165","0","79","171","-78.43","5.77","302;73","-84.47;-89.06","481.56","432.35","434.38","1276","9.08","21.31","242.14","3","153.1","135.3","138.14","552","6.75","26","246","1","15","25","",""
"70",2024/3/26 11:18:43,"4","119.84813","31.71165","0","79","171","-78.5","5.86","302;73","-84.73;-89.30","482.57","432.22","433.63","1276","7.91","21.85","243.81","3","153.27","138.78","141.64","552","2.92","26","246","1","15","25","",""
"71",2024/3/26 11:18:44,"4","119.84813","31.71165","0","79","171","-78.64","5.95","302;73","-84.82;-88.42","480.41","428.26","433.07","1274","9.35","21.08","244.1","3","153.05","141.8","141.71","552","12.59","25.9","246","1","14","24","",""
"72",2024/3/26 11:18:45,"4","119.84813","31.71165","0","79","171","-78.75","5.61","302;73","-84.88;-89.30","477.97","428.43","433.1","1274","7.19","21.3","244.7","2.92","153.44","141.64","141.29","552","7.78","25.98","246","1","15","25","",""
"73",2024/3/26 11:18:46,"4","119.84813","31.71165","0","79","171","-78.62","5.81","302;73","-84.72;-88.26","471.75","424.25","429.54","1274","8.47","21.54","243.05","3","152.75","134.7","136.78","552","10.8","25.95","246","1","15","25","",""
"74",2024/3/26 11:18:47,"4","119.84813","31.71165","0","79","171","-78.53","5.57","302;73","-85.00;-88.49","468.56","422.76","423.84","1274","8.9","20.92","242.2","3","153.59","136.79","140.67","552","6.88","26","246","1","16","25","",""
"75",2024/3/26 11:18:48,"4","119.84813","31.71165","0","79","171","-78.46","5.57","302;73","-84.80;-88.09","468.78","421.16","424.46","1276","8.38","21.39","243.2","3","153.27","142.06","143.88","552","0.91","26","246","1","16","25","",""
"76",2024/3/26 11:18:49,"4","119.84813","31.71165","0","79","171","-79.02","5.12","302;73","-83.68;-88.43","470.37","419.95","423.7","1272","8.53","21.52","241.96","3","153.22","148.48","147","552","5.25","25.98","246","1","16","25","",""
"77",2024/3/26 11:18:50,"4","119.84813","31.71165","0","79","171","-79.22","5.58","302;73","-83.78;-88.53","470.22","422.09","424.55","1274","8.99","21.22","241.91","2.83","153.15","143.88","144.68","552","10.42","25.96","246","1","15","25","",""
"78",2024/3/26 11:18:51,"4","119.84813","31.71165","0","79","171","-79.5","5.8","302;73","-83.92;-88.27","470.7","420.02","423.6","1274","8.72","21.21","242.86","2.92","153.36","138.67","140.49","552","9.83","26","246","1","15","25","",""
"79",2024/3/26 11:18:52,"5","119.84813","31.71165","0","79","171","-79.86","6.33","302;73","-84.06;-103.52","464.64","416.46","417.32","1272","9.55","20.54","241.81","2.83","151.71","137.53","135.57","552","10.78","25.36","246","1","16","25","",""
"80",2024/3/26 11:18:53,"8","119.84812","31.71166","0.52","79","171","-80.5","7.06","302;73","-85.74;-98.71","453.05","400.22","408.11","1274","8.96","19.46","240.94","2.92","151.22","135.45","135.4","552","10.2","25.69","246","1","17","25","",""
"81",2024/3/26 11:18:54,"12","119.84811","31.71165","1.05","79","171","-81.27","5.79","302;73","-85.15;-94.29","430.34","383.79","387.82","1274","7.94","18.11","244.26","2.91","151.23","134.59","137.27","552","6.73","25.99","246","1","17","25","",""
"82",2024/3/26 11:18:55,"18","119.84811","31.71164","1.45","79","171","-84.19","-1.34","302;73","-83.95;-124.29","415.85","374.86","379.31","1271","7.13","18.69","242.7","2.76","152.56","136.33","141.55","552","5.27","26.02","246","1","16","25","",""
"83",2024/3/26 11:18:56,"23","119.84811","31.71164","1.45","79","171","-90.06","-8.17","302;73;56","-81.70;-91.28;-91.34","405.09","363.32","368.23","1274","9.9","17.43","242.98","2","149.85","145.52","141.48","552","6.38","24.27","246","1","17","25","",""
"84",2024/3/26 11:18:57,"28","119.8481","31.71164","1.99","79","171","-73.36","10.26","302;192;56;73","-78.88;-88.27;-90.02;-110.87","382.55","336.77","345.31","1274","10.55","15.32","243.25","2","133.05","128.62","124.09","552","10.74","19.09","246","1","9","19","",""
"85",2024/3/26 11:18:58,"31","119.84811","31.71166","2.96","79","171","-72.88","10.14","302;192;56;73","-80.23;-88.68;-90.12;-138.34","343.43","287.95","301.78","1270","12.82","13.24","242.21","2","129.5","118.86","117.19","552","12.22","24.9","246","1","17","25","",""
"86",2024/3/26 11:18:59,"36","119.8481","31.71166","3","79","171","-72.34","8.37","302;192;73","-81.78;-88.16;-108.96","306.3","265.15","269.45","1270","8.66","13.85","244.01","2","130.85","113.64","115.69","552","10.5","25.2","246","1","19","25","",""
"87",2024/3/26 11:19:00,"42","119.8481","31.71166","3","79","171","-72.55","3.96","302;192","-73.35;-92.35","287.33","257.3","257.57","1272","5.55","25.54","243.74","2","144.78","126.77","127.82","552","11.53","24.87","246","1","19","25","",""
"88",2024/3/26 11:19:01,"47","119.8481","31.71166","3.34","79","171","-74.5","-0.63","302","-68.95","295.71","274.72","272.52","1272","5.51","22.58","243.99","2","145.56","128.58","129.82","552","9.8","25.14","246","1","19","25","",""
"89",2024/3/26 11:19:02,"52","119.84809","31.71166","3.71","79","171","-78.12","-7.45","302;219","-66.58;-123.46","340.11","318.31","314.21","1271","8.19","18.65","242.3","2","147.16","129.59","131.17","552","11.41","25.65","246","1","19","25","",""
"90",2024/3/26 11:19:03,"57","119.84809","31.71166","3.13","79","171","-68.13","7.54","302;219","-65.02;-119.63","377.13","335.51","337.53","1270","14.28","17.98","242.98","2","145.79","128.43","131.8","552","8.51","24.21","246","1","14","24","",""
"91",2024/3/26 11:19:04,"63","119.84809","31.71166","2.54","79","171","-68.94","3.11","302;219","-71.18;-120.63","388.81","327.58","339.5","1269","15.59","15.62","242.96","2","148.1","135.73","137.48","552","2.93","26.07","246","1","15","25","",""
"92",2024/3/26 11:19:05,"63","119.84809","31.71166","2.54","79","302","-74.42","9.04","171;73;61","-80.82;-83.21;-85.99","341.31","319.41","269.66","1263","25.54","12.53","239.8","2","147.63","138.28","139.11","551","7.23","26.1","245.08","1","19","24","",""
"93",2024/3/26 11:19:06,"72","119.848","31.71167","5.63","79","302","-72.64","13.76","171;73;61","-80.59;-84.13;-85.73","321.37","265.41","257.86","1402","8.55","14.05","245.05","2","156.67","144.6","145.48","600","11.89","25.91","246","1","19","17","",""
"94",2024/3/26 11:19:07,"77","119.8479","31.71168","8.5","79","302","-73.38","19.2","73;171;61","-81.20;-81.27;-85.45","315.85","270.77","259.63","1402","10.08","14.75","242.52","2","160.98","145.8","146.51","600","8.83","25.88","246","1","19","17","",""
"95",2024/3/26 11:19:08,"82","119.84778","31.71169","12.27","79","302","-72.67","14.1","171;61;73;70","-80.93;-84.51;-88.30;-90.23","325.26","290.95","293.61","1402","5.33","13.74","244.22","2","165.52","148.92","147.98","600","10.83","25.57","246","1","19","17","",""
"96",2024/3/26 11:19:09,"87","119.84765","31.71171","17.29","79","302","-73.4","8.35","171;61;73;70","-74.74;-83.69;-89.19;-100.17","319.99","285.68","288.44","1402","9.18","14.27","243.14","2","164.84","146.61","147.8","600","10.86","25.7","246","1","19","17","",""
"97",2024/3/26 11:19:10,"92","119.84754","31.71175","21.82","79","302","-69.1","10.1","171;61;73","-74.11;-86.25;-91.99","319","287.71","289.7","1402","8.35","13.38","244","2","162.91","145.79","144.28","600","12.73","25.08","246","1","17","15","",""
"98",2024/3/26 11:19:11,"97","119.84744","31.71181","26.46","79","302","-79.25","9.2","73;171;61;70","-81.60;-82.79;-85.63;-90.30","318.87","286.15","287.85","1401","7.03","13.92","242.51","2.5","149.92","134.62","132.2","600","12.33","20.49","246","1","19","24","",""
"99",2024/3/26 11:19:12,"102","119.84736","31.71188","27.73","79","302","-81.05","8.63","73;171;61;70;85","-79.38;-83.57;-84.29;-90.20;-108.13","329.9","295.6","298.91","1403","9.41","14.6","242.44","2.76","136.63","115.8","117.71","600","15.74","20.59","246","1","19","22","",""
"100",2024/3/26 11:19:13,"107","119.84728","31.71194","31.02","79","302","-80.72","5.7","171;61;73;70;85","-77.41;-83.39;-84.88;-111.38;-126.73","339.26","307.05","307.63","1403","6.63","14.75","242.75","3.41","130.42","109.57","113.5","600","11.7","23.02","246","1","19","22","",""
"101",2024/3/26 11:19:14,"112","119.84718","31.71196","38.4","79","302","-71.47","9.76","171;73;61;70","-79.40;-81.74;-85.09;-111.38","359.79","323.06","325.19","1404","9.57","16.19","240.61","2.38","126.14","117.05","108.8","600","14.06","24.15","230.94","1","13","12","",""
"102",2024/3/26 11:19:15,"117","119.84706","31.71198","38.73","79","302","-68.44","11.97","171;61;73","-81.76;-83.95;-88.79","339.46","297.85","298.84","1404","16.34","15.69","236.84","2.83","116.35","96.29","101.11","453","11.37","25.49","228.22","1","17","15","",""
"103",2024/3/26 11:19:16,"123","119.84694","31.71199","42.01","79","302","-69.56","12.28","61;171;73;192","-84.58;-87.16;-91.41;-96.27","344.98","305.7","303.63","1404","6.39","15.58","242.94","4","124.6","100.23","108.85","600","10.66","25.93","246","1","18","17","",""
"104",2024/3/26 11:19:17,"128","119.84679","31.71201","45.96","79","302","-70.17","13.02","171;61;73;192","-82.77;-84.48;-88.66;-91.54","350.85","310.26","311.97","1406","8.01","16.27","242.91","4","143.33","128.86","127.1","600","11.83","25.93","246","1","17","16","",""
"105",2024/3/26 11:19:18,"133","119.84665","31.71203","46.21","79","302","-70.97","12.28","61;171;67;192;73;70","-84.36;-85.46;-90.47;-90.77;-90.83;-93.38","360.32","327.17","328.69","1406","8.31","16.79","237.78","3.84","128.25","124.78","113.68","600","9.56","25.51","177.78","1","3","18","",""
"106",2024/3/26 11:19:19,"138","119.8465","31.71205","47.52","79","302","-71.61","11","61;70;192;67;73;171","-85.51;-89.85;-91.01;-92.05;-95.00;-97.18","372.16","337.61","341.69","1406","5.97","16.77","242.46","4","120.14","105.29","106.36","553","10.62","25.27","238.81","1","19","17","",""
"107",2024/3/26 11:19:20,"143","119.84635","31.71205","47.88","79","302","-74.53","10.19","61;70;67;192;171;73","-82.70;-89.50;-89.66;-91.02;-91.49;-96.74","377.6","338.56","344.08","1406","9.53","16.8","243.07","2.15","116.24","93.89","103.6","600","10.16","24.67","246","1","19","19","",""
"108",2024/3/26 11:19:21,"148","119.84618","31.71206","50.48","79","302","-75.42","11.01","61;70;67;192;171;73","-82.88;-89.94;-90.34;-90.91;-112.04;-138.34","413.28","375.55","376.41","1403","7.88","17.25","242.27","2.16","138.56","118.17","123.25","600","10.88","25.13","223.54","1","19","19","",""
"109",2024/3/26 11:19:22,"153","119.84603","31.71207","51.84","79","302","-76","11.2","61;70;192;67;171;73","-81.29;-87.48;-90.02;-90.06;-112.04;-155.72","412.1","376.12","372.83","1389","8.25","17.81","241.91","2.23","128.1","108.7","113.76","498","10.9","23.88","231.3","1","19","19","",""
"110",2024/3/26 11:19:23,"158","119.84587","31.71209","53.93","79","302","-77.25","11.42","61;70;192;67;85","-80.31;-88.09;-90.38;-92.86;-98.71","423.59","382.49","384.44","1402","8.89","18.06","243.98","2.5","127.1","111.63","113.55","600","8.83","24.11","246","1","19","20","",""
